Date/Time,Word Count,en,ru
2021.07.16-21.40.43,121,121,0
2021.07.16-21.41.47,24,24,0
2021.07.16-21.43.45,24,24,24
2021.07.25-18.11.11,26,26,24
2021.07.25-18.11.41,26,26,26
2021.07.25-18.33.13,31,31,25
2021.07.25-18.33.48,31,31,31
2021.08.06-04.11.27,32,32,31
2021.08.06-04.11.57,32,32,32
2021.08.06-04.57.05,33,33,31
2021.08.06-04.57.41,37,37,31
2021.08.06-04.58.08,37,37,37
2021.08.15-18.27.40,39,39,37
2021.08.15-18.28.05,39,39,39
2021.08.16-04.47.03,40,40,39
2021.08.16-04.47.25,40,40,40
2021.08.22-06.12.50,43,43,40
2021.08.22-06.13.49,43,43,43
2021.08.23-17.53.49,58,58,23
2021.08.23-17.57.07,58,58,56
2021.08.23-17.57.49,58,58,58
2021.09.08-17.37.59,60,60,58
2021.09.08-17.39.45,60,60,60
2021.09.08-18.51.06,60,60,58
2021.09.08-18.52.05,60,60,60
2021.09.08-18.55.54,60,60,58
2021.09.08-18.56.26,60,60,60
2021.09.08-18.57.20,60,60,58
2021.09.08-18.57.40,60,60,60
2021.09.30-19.27.14,62,62,60
2021.09.30-19.27.41,62,62,62
2021.09.30-22.31.58,70,70,62
2021.09.30-22.32.32,70,70,70
2021.10.01-00.26.11,71,71,70
2021.10.01-00.26.36,71,71,71
2021.10.01-04.28.18,79,79,71
2021.10.01-04.29.28,79,79,79
2021.10.01-04.42.40,71,71,68
2021.10.01-04.43.13,71,71,71
2021.10.02-17.45.00,75,75,71
2021.10.02-17.47.52,75,75,75
2021.10.03-21.26.24,78,78,72
2021.10.03-21.28.01,78,78,78
2021.10.04-02.58.37,79,79,78
2021.10.04-02.59.00,79,79,79
2021.10.25-08.20.47,81,81,79
2021.10.25-08.21.16,81,81,81
2021.10.25-10.31.36,82,82,81
2021.10.25-10.33.48,82,82,82
2021.10.25-12.06.33,89,89,82
2021.10.25-12.07.21,89,89,89
2021.10.25-12.12.42,91,91,89
2021.10.25-12.14.01,91,91,91
2021.10.25-12.17.12,92,92,91
2021.10.25-12.17.33,92,92,92
2021.10.25-15.26.17,94,94,92
2021.10.25-15.26.49,94,94,94
2021.10.25-15.32.12,96,96,94
2021.10.25-15.32.40,96,96,96
2021.12.01-21.38.46,97,97,96
2021.12.01-21.39.38,97,97,97
2021.12.01-22.01.19,97,97,96
2021.12.01-22.01.52,97,97,97
2021.12.03-14.56.32,102,102,97
2021.12.03-15.00.03,98,98,97
2021.12.03-15.00.58,98,98,98
2021.12.03-15.10.02,98,98,92
2021.12.03-15.12.13,98,98,98
2021.12.03-15.15.07,100,100,98
2021.12.03-15.49.46,102,102,98
2021.12.03-15.50.32,102,102,102
2021.12.08-18.28.31,102,101,102
2021.12.08-18.29.37,102,102,102
2022.01.12-05.51.37,104,104,102
2022.01.12-05.52.57,104,104,104
2022.01.12-16.57.20,105,105,104
2022.01.12-17.44.46,108,108,104
2022.01.12-17.45.24,108,108,107
2022.01.12-17.50.11,108,108,108
2022.01.15-15.31.16,111,111,108
2022.01.15-15.32.17,111,111,111
2022.01.17-18.56.54,114,114,111
2022.01.17-18.57.45,114,114,114
2022.01.29-16.01.18,111,111,111
2022.03.04-03.38.45,116,116,111
2022.03.04-03.40.55,116,116,116
2022.03.06-17.26.27,122,122,116
2022.03.06-17.27.49,122,122,122
2022.03.08-04.23.55,123,123,122
2022.03.08-04.24.26,123,123,123
2022.03.09-02.22.59,125,125,123
2022.03.09-02.24.13,125,125,125
2022.03.10-20.28.12,130,130,125
2022.03.10-20.29.23,130,130,130
2022.03.12-00.39.52,130,130,128
2022.03.12-00.41.23,131,131,130
2022.03.12-00.42.47,131,131,131
2022.03.12-01.32.13,138,138,131
2022.03.12-01.33.25,138,138,138
2022.03.12-22.53.04,168,168,138
2022.03.12-22.54.43,168,168,168
2022.03.13-21.57.27,173,173,168
2022.03.13-22.01.02,173,173,173
2022.04.11-03.46.13,175,175,173
2022.04.11-03.46.52,175,175,175
2022.05.22-05.06.44,182,182,175
2022.05.22-05.08.46,182,182,182
2022.05.22-05.29.30,183,183,182
2022.05.22-05.29.56,183,183,183
2022.06.06-22.20.06,186,186,181
2022.06.06-22.58.24,186,186,186
2022.06.10-20.25.16,192,192,186
2022.06.10-20.27.01,192,192,192
2022.06.10-20.55.36,194,194,192
2022.06.10-20.57.28,194,194,194
2022.06.13-17.47.05,234,234,188
2022.06.13-17.56.12,234,234,222
2022.06.13-17.59.29,234,234,234
2022.06.24-00.58.10,242,242,234
2022.06.24-01.12.11,242,242,242
2022.06.24-02.15.10,243,243,242
2022.06.24-02.15.46,243,243,243
2022.06.25-16.08.31,259,259,243
2022.06.25-16.09.11,259,259,259
